dataset,model,seed,context_pct,attack,auc,source
locations,real-tabpfn,4,70.0,RMIA,0.8501049101938978,ml_privacy_meter/logs/locations/real-tabpfn/seed4/rmia_ctx70/report/exp/attack_result_0.npz
locations,real-tabpfn,5,70.0,RMIA,0.8656107856607854,ml_privacy_meter/logs/locations/real-tabpfn/seed5/rmia_ctx70/report/exp/attack_result_0.npz
locations,real-tabpfn,1,80.0,RMIA,0.8625161018205032,ml_privacy_meter/logs/locations/real-tabpfn/seed1/rmia_ctx80/report/exp/attack_result_0.npz
locations,real-tabpfn,2,80.0,RMIA,0.846110294145587,ml_privacy_meter/logs/locations/real-tabpfn/seed2/rmia_ctx80/report/exp/attack_result_0.npz
locations,real-tabpfn,3,80.0,RMIA,0.860448989052662,ml_privacy_meter/logs/locations/real-tabpfn/seed3/rmia_ctx80/report/exp/attack_result_0.npz
locations,real-tabpfn,4,80.0,RMIA,0.8191447320923056,ml_privacy_meter/logs/locations/real-tabpfn/seed4/rmia_ctx80/report/exp/attack_result_0.npz
locations,real-tabpfn,5,80.0,RMIA,0.8124494146347023,ml_privacy_meter/logs/locations/real-tabpfn/seed5/rmia_ctx80/report/exp/attack_result_0.npz
locations,real-tabpfn,1,90.0,RMIA,0.8377116442244443,ml_privacy_meter/logs/locations/real-tabpfn/seed1/rmia_ctx90/report/exp/attack_result_0.npz
locations,real-tabpfn,2,90.0,RMIA,0.8042600674618312,ml_privacy_meter/logs/locations/real-tabpfn/seed2/rmia_ctx90/report/exp/attack_result_0.npz
locations,real-tabpfn,3,90.0,RMIA,0.8640941461993398,ml_privacy_meter/logs/locations/real-tabpfn/seed3/rmia_ctx90/report/exp/attack_result_0.npz
locations,real-tabpfn,4,90.0,RMIA,0.8160628842786299,ml_privacy_meter/logs/locations/real-tabpfn/seed4/rmia_ctx90/report/exp/attack_result_0.npz
locations,real-tabpfn,5,90.0,RMIA,0.8374923782548231,ml_privacy_meter/logs/locations/real-tabpfn/seed5/rmia_ctx90/report/exp/attack_result_0.npz
locations,real-tabpfn,1,100.0,RMIA,0.8183001151821774,ml_privacy_meter/logs/locations/real-tabpfn/seed1/rmia/report/exp/attack_result_0.npz
locations,real-tabpfn,2,100.0,RMIA,0.7916988642162509,ml_privacy_meter/logs/locations/real-tabpfn/seed2/rmia/report/exp/attack_result_0.npz
locations,real-tabpfn,3,100.0,RMIA,0.8505268248113103,ml_privacy_meter/logs/locations/real-tabpfn/seed3/rmia/report/exp/attack_result_0.npz
locations,real-tabpfn,4,100.0,RMIA,0.8151994304071228,ml_privacy_meter/logs/locations/real-tabpfn/seed4/rmia/report/exp/attack_result_0.npz
locations,real-tabpfn,5,100.0,RMIA,0.8121449157031702,ml_privacy_meter/logs/locations/real-tabpfn/seed5/rmia/report/exp/attack_result_0.npz
locations,tabdpt,1,5.0,AMIA row_max,1.0,ml_privacy_meter/logs/locations/tabdpt/seed1/amia_ctx5/report/exp/attention_summary.csv
locations,tabdpt,2,5.0,AMIA row_max,1.0,ml_privacy_meter/logs/locations/tabdpt/seed2/amia_ctx5/report/exp/attention_summary.csv
locations,tabdpt,3,5.0,AMIA row_max,1.0,ml_privacy_meter/logs/locations/tabdpt/seed3/amia_ctx5/report/exp/attention_summary.csv
locations,tabdpt,4,5.0,AMIA row_max,1.0,ml_privacy_meter/logs/locations/tabdpt/seed4/amia_ctx5/report/exp/attention_summary.csv
locations,tabdpt,5,5.0,AMIA row_max,1.0,ml_privacy_meter/logs/locations/tabdpt/seed5/amia_ctx5/report/exp/attention_summary.csv
locations,tabdpt,1,10.0,AMIA row_max,1.0,ml_privacy_meter/logs/locations/tabdpt/seed1/amia_ctx10/report/exp/attention_summary.csv
locations,tabdpt,2,10.0,AMIA row_max,1.0,ml_privacy_meter/logs/locations/tabdpt/seed2/amia_ctx10/report/exp/attention_summary.csv
locations,tabdpt,3,10.0,AMIA row_max,1.0,ml_privacy_meter/logs/locations/tabdpt/seed3/amia_ctx10/report/exp/attention_summary.csv
locations,tabdpt,4,10.0,AMIA row_max,1.0,ml_privacy_meter/logs/locations/tabdpt/seed4/amia_ctx10/report/exp/attention_summary.csv
locations,tabdpt,5,10.0,AMIA row_max,1.0,ml_privacy_meter/logs/locations/tabdpt/seed5/amia_ctx10/report/exp/attention_summary.csv
locations,tabdpt,1,20.0,AMIA row_max,1.0,ml_privacy_meter/logs/locations/tabdpt/seed1/amia_ctx20/report/exp/attention_summary.csv
locations,tabdpt,2,20.0,AMIA row_max,1.0,ml_privacy_meter/logs/locations/tabdpt/seed2/amia_ctx20/report/exp/attention_summary.csv
locations,tabdpt,3,20.0,AMIA row_max,1.0,ml_privacy_meter/logs/locations/tabdpt/seed3/amia_ctx20/report/exp/attention_summary.csv
locations,tabdpt,4,20.0,AMIA row_max,1.0,ml_privacy_meter/logs/locations/tabdpt/seed4/amia_ctx20/report/exp/attention_summary.csv
locations,tabdpt,5,20.0,AMIA row_max,1.0,ml_privacy_meter/logs/locations/tabdpt/seed5/amia_ctx20/report/exp/attention_summary.csv
locations,tabdpt,1,30.0,AMIA row_max,1.0,ml_privacy_meter/logs/locations/tabdpt/seed1/amia_ctx30/report/exp/attention_summary.csv
locations,tabdpt,2,30.0,AMIA row_max,1.0,ml_privacy_meter/logs/locations/tabdpt/seed2/amia_ctx30/report/exp/attention_summary.csv
locations,tabdpt,3,30.0,AMIA row_max,1.0,ml_privacy_meter/logs/locations/tabdpt/seed3/amia_ctx30/report/exp/attention_summary.csv
